ID	Date	Link
p_0021_019	1985(e)ko martxoaren 26a	https://ahotsak.eus/bergara/pasarteak/ber-060-043/
p_0021_020	1985(e)ko martxoaren 26a	https://ahotsak.eus/bergara/pasarteak/ber-060-045/
p_0021_021	1985(e)ko martxoaren 26a	https://ahotsak.eus/bergara/pasarteak/ber-060-049/
p_0021_022	1985(e)ko martxoaren 26a	https://ahotsak.eus/bergara/pasarteak/ber-060-051/
p_0021_023	1985(e)ko martxoaren 26a	https://ahotsak.eus/bergara/pasarteak/ber-060-052/
p_0021_024	1985(e)ko martxoaren 26a	https://ahotsak.eus/bergara/pasarteak/ber-060-053/
p_0021_025	1985(e)ko martxoaren 26a	https://ahotsak.eus/bergara/pasarteak/ber-060-054/
p_0021_026	1985(e)ko martxoaren 26a	https://ahotsak.eus/bergara/pasarteak/ber-060-058/
p_0021_027	1985(e)ko martxoaren 26a	https://ahotsak.eus/bergara/pasarteak/ber-060-059/
p_0022_001	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-008/
p_0022_002	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-012/
p_0022_003	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-013/
p_0022_004	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-018/
p_0022_005	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-021/
p_0022_006	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-023/
p_0022_007	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-034/
p_0022_008	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-035/
p_0022_009	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-036/
p_0022_010	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-044/
p_0022_011	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-050/
p_0022_012	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-051/
p_0022_013	1985(e)ko otsailaren 15a	https://ahotsak.eus/bergara/pasarteak/ber-058-052/
p_0023_001	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-003/
p_0023_002	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-004/
p_0023_003	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-006/
p_0023_004	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-007/
p_0023_005	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-008/
p_0023_006	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-009/
p_0023_007	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-014/
p_0023_008	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-023/
p_0023_009	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-026/
p_0023_010	2009(e)ko irailaren 09a	https://ahotsak.eus/azpeitia/pasarteak/azp-027-027/
p_0024_001	2010(e)ko uztailaren 14a	https://ahotsak.eus/altzo/pasarteak/alo-003-044/
p_0024_002	2010(e)ko uztailaren 14a	https://ahotsak.eus/altzo/pasarteak/alo-003-045/
p_0025_001	1992(e)ko urtarrilaren 28a	https://ahotsak.eus/bergara/pasarteak/ber-248-001/
p_0025_002	1992(e)ko urtarrilaren 28a	https://ahotsak.eus/bergara/pasarteak/ber-248-002/
p_0025_003	1992(e)ko urtarrilaren 28a	https://ahotsak.eus/bergara/pasarteak/ber-248-004/
p_0025_004	1992(e)ko urtarrilaren 28a	https://ahotsak.eus/bergara/pasarteak/ber-248-005/
p_0026_001	2009(e)ko abenduaren 07a	https://ahotsak.eus/lezo/pasarteak/lez-007-002/
p_0026_002	2009(e)ko abenduaren 07a	https://ahotsak.eus/lezo/pasarteak/lez-007-004/
p_0027_001	2010(e)ko uztailaren 08a	https://ahotsak.eus/legazpi/pasarteak/lga-043-005/
p_0027_002	2010(e)ko uztailaren 08a	https://ahotsak.eus/legazpi/pasarteak/lga-043-006/
